GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
desofs,isep.ipp.pt.api.desofs.Service.TipoPacoteService,TipoPacoteServiceImpl,5,35,0,0,2,7,1,5,1,5
desofs,isep.ipp.pt.api.desofs.Service.UserService,UserServiceImpl,97,45,9,3,14,12,9,8,4,7
desofs,isep.ipp.pt.api.desofs.bootstrapper,ReceitaBootSrapper,0,4,0,0,0,2,0,2,0,2
desofs,isep.ipp.pt.api.desofs.bootstrapper,TipoPacoteBootStrapper,0,19,1,1,0,5,1,2,0,2
desofs,isep.ipp.pt.api.desofs.bootstrapper,DadosNutricionaisBootStrapper,0,4,0,0,0,2,0,2,0,2
desofs,isep.ipp.pt.api.desofs.bootstrapper,ReceitaBootStrapper,15,80,4,4,3,18,4,2,0,2
desofs,isep.ipp.pt.api.desofs.bootstrapper,UserBootstrapper,0,32,1,1,0,6,1,2,0,2
desofs,isep.ipp.pt.api.desofs.bootstrapper,PacoteBootStrapper,11,36,2,2,2,8,2,2,0,2
desofs,isep.ipp.pt.api.desofs.bootstrapper,TipoReceitaBootStrapper,10,24,2,2,2,6,2,2,0,2
desofs,isep.ipp.pt.api.desofs.Mapper.ReviewMapper,ReviewMapperImpl,41,224,10,10,13,71,9,10,1,8
desofs,isep.ipp.pt.api.desofs.Dto.TipoPacoteDTO.ServiceLayer,TipoPacoteDTOServiceResponse,0,15,0,0,0,6,0,3,0,3
desofs,isep.ipp.pt.api.desofs.Dto.TipoPacoteDTO.ServiceLayer,TipoPacoteDTOServiceRequest,0,9,0,0,0,4,0,2,0,2
desofs,isep.ipp.pt.api.desofs.Dto.UserDTO.ServiceLayer,UserDTOPasswordChange,57,0,6,0,17,0,7,0,4,0
desofs,isep.ipp.pt.api.desofs,DesofsApplication,11,3,0,0,5,1,1,1,1,1
desofs,isep.ipp.pt.api.desofs,SecurityConfig,63,330,0,0,7,51,1,18,1,18
desofs,isep.ipp.pt.api.desofs.Dto.PacoteDTO.ControllerLayer,PacoteDTOSaveRequest,0,33,0,0,0,12,0,6,0,6
desofs,isep.ipp.pt.api.desofs.Dto.PacoteDTO.ControllerLayer,PacoteDTOResponse,18,21,0,0,6,8,6,1,6,1
desofs,isep.ipp.pt.api.desofs.Dto.PacoteDTO.ControllerLayer,PacoteDTOPatchRequest,18,21,0,0,6,8,6,1,6,1
